,,group,ids,moe,percent
b04006_reported_ancestry_acs_m,croatn,B04006,29,FALSE,FALSE
b04006_reported_ancestry_acs_m,croatn_me,B04006,29,TRUE,FALSE
b04006_reported_ancestry_acs_m,cyprit,B04006,30,FALSE,FALSE
b04006_reported_ancestry_acs_m,cyprit_me,B04006,30,TRUE,FALSE
b04006_reported_ancestry_acs_m,czech,B04006,31,FALSE,FALSE
b04006_reported_ancestry_acs_m,czech_me,B04006,31,TRUE,FALSE
b04006_reported_ancestry_acs_m,czcslv,B04006,32,FALSE,FALSE
b04006_reported_ancestry_acs_m,czcslv_me,B04006,32,TRUE,FALSE
b04006_reported_ancestry_acs_m,danish,B04006,33,FALSE,FALSE
b04006_reported_ancestry_acs_m,danish_me,B04006,33,TRUE,FALSE
b04006_reported_ancestry_acs_m,dutch,B04006,34,FALSE,FALSE
b04006_reported_ancestry_acs_m,dutch_me,B04006,34,TRUE,FALSE
b04006_reported_ancestry_acs_m,e_eurp,B04006,35,FALSE,FALSE
b04006_reported_ancestry_acs_m,e_eurp_me,B04006,35,TRUE,FALSE
b04006_reported_ancestry_acs_m,eng,B04006,36,FALSE,FALSE
b04006_reported_ancestry_acs_m,eng_me,B04006,36,TRUE,FALSE
b04006_reported_ancestry_acs_m,eston,B04006,37,FALSE,FALSE
b04006_reported_ancestry_acs_m,eston_me,B04006,37,TRUE,FALSE
b04006_reported_ancestry_acs_m,europe,B04006,38,FALSE,FALSE
b04006_reported_ancestry_acs_m,europe_me,B04006,38,TRUE,FALSE
b04006_reported_ancestry_acs_m,finnsh,B04006,39,FALSE,FALSE
b04006_reported_ancestry_acs_m,finnsh_me,B04006,39,TRUE,FALSE
b04006_reported_ancestry_acs_m,french,B04006,40,FALSE,FALSE
b04006_reported_ancestry_acs_m,french_me,B04006,40,TRUE,FALSE
b04006_reported_ancestry_acs_m,frcand,B04006,41,FALSE,FALSE
b04006_reported_ancestry_acs_m,frcand_me,B04006,41,TRUE,FALSE
b04006_reported_ancestry_acs_m,german,B04006,42,FALSE,FALSE
b04006_reported_ancestry_acs_m,german_me,B04006,42,TRUE,FALSE
b04006_reported_ancestry_acs_m,grmrsn,B04006,43,FALSE,FALSE
b04006_reported_ancestry_acs_m,grmrsn_me,B04006,43,TRUE,FALSE
b04006_reported_ancestry_acs_m,greek,B04006,44,FALSE,FALSE
b04006_reported_ancestry_acs_m,greek_me,B04006,44,TRUE,FALSE
b04006_reported_ancestry_acs_m,guyan,B04006,45,FALSE,FALSE
b04006_reported_ancestry_acs_m,guyan_me,B04006,45,TRUE,FALSE
b04006_reported_ancestry_acs_m,hungar,B04006,46,FALSE,FALSE
